State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Yield
Punjab,soybean,Rabi,13.26,1617.3,61.42,35.4
Rajasthan,soybean,Zaid,8.11,2727.87,317.68,60.37
Tamil Nadu,wheat,Rabi,11.56,1219.39,161.55,42.83
Maharashtra,pulses,Zaid,3.24,2467.35,61.57,38.03
Kerala,millet,Zaid,17.12,2947.21,239.79,53.97
Karnataka,cotton,Kharif,11.19,1914.61,250.16,41.12
Assam,sugarcane,Kharif,1.87,2166.8,70.51,95.79
Assam,millet,Kharif,3.94,2629.32,293.15,56.89
Telangana,tea,Rabi,4.54,1432.8,207.79,37.3
Rajasthan,ginger,Rabi,9.26,698.02,336.09,45.51
Assam,cotton,Kharif,12.2,1772.48,139.99,41.48
Andhra Pradesh,turmeric,Zaid,4.05,2024.59,323.21,51.77
Kerala,ginger,Kharif,0.55,2685.53,233.56,64.57
Punjab,rice,Zaid,5.18,2309.53,296.32,60.03
Andhra Pradesh,wheat,Rabi,8.9,1944.01,346.98,60.13
Haryana,cotton,Zaid,4.05,2214.04,295.07,42.54
Assam,pulses,Kharif,19.4,443.4,259.2,29.99
Maharashtra,chilli,Zaid,14.21,1095.6,315.94,42.14
Karnataka,pulses,Kharif,17.56,2574.84,198.43,47.02
Andhra Pradesh,tea,Rabi,15.89,2102.1,259.75,49.65
Maharashtra,chilli,Rabi,2.25,2409.17,245.26,48.72
Maharashtra,millet,Rabi,13.14,2183.01,228.19,45.5
Haryana,coffee,Kharif,12.19,826.28,96.45,35.18
Karnataka,millet,Kharif,18.62,1155.42,52.29,32.2
Punjab,wheat,Kharif,14.66,1158.7,336.44,50.47
Haryana,millet,Kharif,5.27,1854.47,40.71,36.52
Uttar Pradesh,chilli,Rabi,4.1,2441.42,69.79,39.79
Maharashtra,sugarcane,Rabi,6.86,416.71,234.35,80.89
West Bengal,cotton,Kharif,14.47,1215.08,250.01,33.36
Tamil Nadu,millet,Kharif,8.6,2276.19,115.54,42.91
Andhra Pradesh,cumin,Rabi,9.37,1804.85,278.01,40.93
Punjab,wheat,Rabi,10.0,926.66,214.43,41.97
Tamil Nadu,sugarcane,Rabi,7.21,2836.23,202.76,105.8
Kerala,millet,Zaid,3.91,1771.66,61.02,37.64
Maharashtra,turmeric,Kharif,11.81,1327.96,256.73,50.51
Telangana,coriander,Zaid,5.42,2788.21,152.42,44.79
Bihar,groundnut,Zaid,10.34,2506.94,222.98,55.55
Maharashtra,cumin,Rabi,5.3,2009.27,283.82,41.01
Andhra Pradesh,wheat,Rabi,1.26,2671.62,91.02,53.67
Rajasthan,wheat,Rabi,16.58,431.95,130.25,37.39
Uttar Pradesh,millet,Kharif,11.16,1468.02,328.29,45.88
Telangana,chilli,Rabi,12.97,502.88,200.78,35.51
Odisha,cumin,Kharif,16.35,2085.2,90.48,45.58
Rajasthan,pulses,Zaid,17.85,2916.47,82.46,39.82
West Bengal,turmeric,Kharif,6.98,2785.24,323.74,60.05
Uttar Pradesh,groundnut,Kharif,4.85,787.61,341.97,49.0
Telangana,ginger,Zaid,4.45,756.73,59.67,31.84
West Bengal,chilli,Rabi,9.23,2204.41,283.21,48.69
Kerala,rice,Kharif,12.09,479.09,195.02,39.89
Andhra Pradesh,cotton,Zaid,14.93,585.7,283.15,36.92
Tamil Nadu,groundnut,Zaid,15.61,2043.51,334.41,56.32
Madhya Pradesh,maize,Kharif,17.28,2188.91,294.47,51.36
West Bengal,soybean,Rabi,10.42,878.5,208.73,39.95
Odisha,sugarcane,Zaid,11.57,1060.07,218.28,84.19
Karnataka,cotton,Rabi,14.21,1822.92,304.47,43.66
Tamil Nadu,groundnut,Rabi,15.69,1190.18,153.99,39.81
Haryana,coffee,Kharif,2.39,521.49,263.47,35.15
Punjab,millet,Rabi,5.41,527.75,169.37,32.03
West Bengal,sugarcane,Zaid,8.4,2680.79,167.28,94.99
West Bengal,chilli,Rabi,13.48,2206.39,314.18,48.88
Maharashtra,cumin,Kharif,18.02,2482.89,199.92,40.65
Tamil Nadu,millet,Zaid,5.82,675.46,237.15,37.01
Andhra Pradesh,rice,Rabi,3.24,941.04,151.16,39.83
Telangana,turmeric,Zaid,0.68,2519.46,147.46,50.03
West Bengal,millet,Kharif,8.51,1425.46,119.39,34.98
Madhya Pradesh,groundnut,Kharif,4.73,2028.24,168.71,46.88
Haryana,sugarcane,Zaid,13.89,1316.82,298.08,99.41
Maharashtra,ginger,Zaid,11.19,790.88,287.79,46.06
Odisha,rice,Rabi,16.94,416.26,230.06,42.46
Bihar,millet,Rabi,19.66,2769.51,96.78,47.61
Haryana,groundnut,Rabi,13.74,1214.82,227.86,43.53
Odisha,cotton,Rabi,17.33,1500.02,167.75,41.11
Telangana,millet,Rabi,11.35,650.99,48.4,23.34
Kerala,sugarcane,Rabi,9.91,882.99,119.59,81.69
Kerala,groundnut,Rabi,13.22,1446.42,292.39,52.13
Punjab,groundnut,Kharif,9.89,2621.67,174.59,53.23
Odisha,pulses,Rabi,12.69,2935.02,81.89,39.02
West Bengal,cumin,Zaid,4.09,1199.75,79.97,21.19
Haryana,tea,Kharif,7.83,816.54,197.15,34.27
Telangana,groundnut,Kharif,6.7,1986.15,244.79,58.19
West Bengal,groundnut,Zaid,15.05,1521.45,42.94,38.4
Uttar Pradesh,soybean,Rabi,15.83,1813.14,44.72,40.45
Bihar,ginger,Kharif,2.74,1462.74,240.25,46.39
Bihar,cotton,Rabi,2.34,2471.32,129.31,44.35
Kerala,ginger,Zaid,8.26,2477.41,284.86,55.23
Punjab,coriander,Kharif,12.63,1818.61,268.63,44.53
Telangana,turmeric,Kharif,2.92,826.92,89.0,33.51
West Bengal,ginger,Rabi,6.94,2732.64,261.55,55.57
Karnataka,wheat,Rabi,19.97,1081.41,211.02,41.47
West Bengal,cotton,Zaid,17.24,919.23,214.67,33.52
Andhra Pradesh,maize,Zaid,6.2,2364.08,318.61,59.95
Andhra Pradesh,sugarcane,Rabi,12.9,1099.44,187.04,83.57
Assam,millet,Zaid,6.3,922.16,130.0,35.19
Haryana,cotton,Zaid,11.66,2632.33,283.0,51.93
Karnataka,chilli,Kharif,9.06,1141.5,175.06,39.13
Maharashtra,sugarcane,Zaid,10.56,1857.22,105.85,90.98
Tamil Nadu,sugarcane,Kharif,0.75,2415.36,121.11,95.54
Maharashtra,maize,Rabi,6.98,1211.84,211.64,41.94
Assam,coffee,Kharif,18.5,1007.52,103.2,30.72
Telangana,maize,Kharif,3.13,752.98,121.06,33.8
Tamil Nadu,maize,Rabi,13.62,1088.64,144.78,34.74
Bihar,soybean,Zaid,9.45,1820.29,161.91,41.1
Tamil Nadu,pulses,Kharif,1.8,907.29,226.78,30.33
Karnataka,sugarcane,Kharif,6.87,2303.35,147.07,93.61
Madhya Pradesh,wheat,Kharif,5.04,1591.92,347.12,55.18
Punjab,ginger,Kharif,4.2,1751.97,174.53,40.86
Rajasthan,ginger,Kharif,6.75,2368.28,63.78,48.01
West Bengal,wheat,Kharif,8.98,1209.02,174.59,47.68
Maharashtra,maize,Zaid,19.78,2179.73,190.27,51.84
Bihar,coffee,Kharif,1.95,978.53,298.42,39.87
Rajasthan,soybean,Kharif,19.1,2441.51,41.19,44.44
Andhra Pradesh,groundnut,Rabi,19.65,2901.34,207.32,59.03
West Bengal,tea,Rabi,6.11,2939.16,89.77,42.09
Tamil Nadu,turmeric,Zaid,13.48,2661.34,174.43,51.96
Odisha,sugarcane,Rabi,3.07,1645.22,83.23,84.55
Rajasthan,pulses,Kharif,18.55,1759.61,173.49,30.38
Karnataka,cotton,Zaid,17.65,2402.3,210.68,42.69
Telangana,groundnut,Rabi,11.71,1359.78,100.3,41.65
Madhya Pradesh,cumin,Rabi,11.93,617.55,96.4,24.64
Punjab,soybean,Kharif,11.23,1828.38,273.16,55.14
Kerala,pulses,Rabi,8.49,1211.41,85.1,29.17
Karnataka,coffee,Zaid,5.8,2653.75,307.63,53.02
Andhra Pradesh,turmeric,Zaid,19.66,436.92,119.78,35.4
Telangana,rice,Zaid,14.46,431.11,112.4,43.26
Uttar Pradesh,maize,Zaid,11.68,2000.58,253.18,52.84
Bihar,rice,Zaid,9.92,2788.97,75.26,59.0
Assam,sugarcane,Rabi,15.21,2929.57,169.9,102.83
Kerala,cumin,Rabi,19.68,2303.89,130.0,40.57
Bihar,tea,Rabi,18.18,2032.43,226.63,42.54
Madhya Pradesh,maize,Rabi,15.29,645.52,104.66,30.54
Assam,ginger,Rabi,1.96,1019.91,231.79,37.89
Maharashtra,groundnut,Kharif,4.9,1454.16,346.33,50.82
Andhra Pradesh,ginger,Rabi,5.28,733.77,307.74,44.71
Tamil Nadu,wheat,Zaid,10.12,1569.23,129.64,47.42
Rajasthan,turmeric,Kharif,8.31,2641.06,168.39,43.89
Punjab,soybean,Rabi,16.39,779.96,89.18,36.33
Tamil Nadu,cumin,Zaid,2.04,371.19,156.92,23.08
Madhya Pradesh,coriander,Kharif,18.55,914.98,60.66,28.8
Punjab,maize,Rabi,4.28,1252.59,206.91,42.52
Rajasthan,chilli,Rabi,19.94,1326.15,284.36,43.28
Maharashtra,maize,Zaid,8.19,865.38,295.08,43.33
Andhra Pradesh,cotton,Zaid,13.65,1690.41,222.78,42.39
Kerala,chilli,Zaid,9.14,920.13,312.51,48.14
Punjab,millet,Kharif,4.1,976.32,74.7,29.94
Odisha,rice,Rabi,9.22,624.45,332.28,47.78
Punjab,turmeric,Kharif,0.54,1671.72,262.99,52.27
Telangana,cotton,Rabi,18.98,1371.73,330.6,41.4
Assam,coriander,Zaid,2.72,1395.5,40.67,32.83
Tamil Nadu,coffee,Zaid,12.6,1240.34,155.79,37.33
Karnataka,cumin,Rabi,9.73,723.83,213.6,27.18
Telangana,coffee,Kharif,2.65,360.89,151.66,24.1
Madhya Pradesh,rice,Kharif,15.66,1333.32,167.58,46.25
Karnataka,wheat,Kharif,5.18,2677.27,341.54,64.92
Tamil Nadu,tea,Kharif,13.87,1528.44,159.19,40.79
Assam,cotton,Rabi,7.69,2678.39,82.94,44.58
Haryana,groundnut,Kharif,2.76,721.42,311.5,44.25
Bihar,pulses,Zaid,2.02,2676.67,170.24,43.99
Karnataka,coffee,Zaid,17.54,2844.41,128.99,44.94
Haryana,coffee,Kharif,2.14,613.4,95.17,30.18
Assam,coriander,Rabi,3.1,792.81,267.75,35.3
Karnataka,coriander,Zaid,9.23,1107.57,154.18,32.62
Andhra Pradesh,rice,Zaid,6.44,838.62,79.02,40.73
Bihar,millet,Rabi,13.53,2878.58,278.67,51.63
Assam,millet,Rabi,6.03,2648.07,50.54,48.71
Kerala,wheat,Zaid,15.91,1104.2,211.93,48.55
Bihar,ginger,Rabi,16.8,508.47,234.81,38.14
Madhya Pradesh,pulses,Zaid,14.88,2482.08,82.98,37.14
Odisha,rice,Zaid,18.76,1017.83,321.63,50.32
Telangana,millet,Zaid,2.8,450.27,280.82,34.06
Maharashtra,millet,Kharif,2.95,856.3,295.74,39.11
Rajasthan,coffee,Rabi,7.18,1389.64,108.87,32.07
Uttar Pradesh,groundnut,Kharif,7.47,2834.76,168.51,54.45
Andhra Pradesh,chilli,Zaid,11.85,959.91,329.67,48.63
Odisha,coriander,Rabi,6.08,2357.25,182.21,47.73
Andhra Pradesh,turmeric,Zaid,16.52,1143.96,270.39,44.8
Kerala,cumin,Kharif,17.74,931.8,248.89,27.91
West Bengal,millet,Kharif,17.57,2498.19,228.59,59.29
West Bengal,coffee,Zaid,5.2,391.57,244.55,35.67
Andhra Pradesh,turmeric,Zaid,13.99,2824.42,77.42,49.21
Rajasthan,chilli,Rabi,7.77,2149.88,322.69,51.64
Assam,tea,Zaid,16.42,1770.87,205.98,41.63
Bihar,soybean,Rabi,18.37,1542.43,265.89,46.85
Karnataka,rice,Zaid,15.18,1950.39,119.34,48.43
Tamil Nadu,rice,Zaid,13.32,1679.23,331.45,54.75
Uttar Pradesh,cotton,Kharif,4.55,989.42,290.5,37.41
Madhya Pradesh,wheat,Zaid,6.55,2914.93,293.92,60.96
Madhya Pradesh,cotton,Kharif,10.03,2206.14,79.25,41.02
Haryana,wheat,Rabi,12.68,2423.85,98.18,50.33
Kerala,tea,Rabi,6.47,2412.66,140.44,45.03
Maharashtra,millet,Kharif,3.13,1188.65,336.66,46.86
Bihar,rice,Kharif,1.01,1458.83,144.31,49.39
West Bengal,tea,Kharif,5.18,864.97,319.73,41.1
Uttar Pradesh,soybean,Zaid,3.53,348.56,226.19,43.84
Karnataka,sugarcane,Zaid,8.45,2906.1,238.42,103.61
Karnataka,millet,Kharif,13.49,318.09,53.48,24.45
Haryana,sugarcane,Rabi,19.25,2668.62,267.74,104.17
Tamil Nadu,chilli,Rabi,3.09,983.08,221.19,41.23
Andhra Pradesh,chilli,Rabi,10.33,550.18,313.28,40.65
Karnataka,turmeric,Zaid,13.48,1625.0,330.26,55.15
Punjab,pulses,Kharif,2.66,2062.85,224.82,41.43
Rajasthan,wheat,Rabi,6.39,2762.36,292.56,61.98
Telangana,cotton,Rabi,5.29,2071.14,60.72,38.47
Uttar Pradesh,cumin,Rabi,12.21,2641.44,140.73,42.53
Haryana,pulses,Rabi,12.27,2024.4,58.95,38.51
Karnataka,coffee,Rabi,4.05,631.06,224.55,33.51
West Bengal,rice,Zaid,15.23,1106.02,234.12,49.1
Haryana,coffee,Kharif,2.72,578.08,211.01,33.12
Uttar Pradesh,pulses,Rabi,8.72,2165.01,322.15,50.28
Punjab,rice,Kharif,1.39,604.21,233.11,48.3
Rajasthan,rice,Kharif,1.8,843.06,204.76,44.61
Uttar Pradesh,rice,Rabi,6.15,934.46,167.94,42.71
Rajasthan,sugarcane,Zaid,0.7,567.73,44.7,74.43
Rajasthan,pulses,Rabi,4.04,1096.05,175.36,28.69
Bihar,coriander,Kharif,4.6,1875.03,85.38,37.67
Odisha,chilli,Kharif,17.06,1957.04,174.87,36.99
Tamil Nadu,pulses,Zaid,6.72,2576.29,242.33,47.0
Madhya Pradesh,coriander,Rabi,0.83,916.67,104.63,31.73
Odisha,chilli,Kharif,13.08,2743.01,79.62,44.04
Assam,soybean,Kharif,19.09,410.72,70.21,30.08
Odisha,chilli,Kharif,11.54,1202.36,152.02,37.62
West Bengal,coffee,Zaid,3.57,2488.9,147.9,44.92
Madhya Pradesh,coffee,Zaid,11.72,2118.92,58.54,37.76
Odisha,turmeric,Kharif,2.32,2260.23,348.46,57.51
Assam,groundnut,Zaid,15.87,1085.55,54.9,43.66
Uttar Pradesh,turmeric,Kharif,0.82,2908.83,165.17,54.91
Karnataka,rice,Rabi,7.44,1809.13,344.43,60.63
Andhra Pradesh,groundnut,Zaid,16.52,1882.01,186.86,48.01
Rajasthan,tea,Kharif,17.5,545.1,97.35,31.47
Telangana,groundnut,Kharif,3.63,564.39,294.69,40.54
Karnataka,soybean,Zaid,2.79,2571.81,167.45,51.04
Punjab,maize,Kharif,1.83,2351.09,69.05,45.8
Assam,soybean,Rabi,19.7,407.48,79.41,30.38
Andhra Pradesh,millet,Rabi,14.9,2717.25,74.64,42.9
Assam,groundnut,Kharif,3.64,1480.32,117.25,45.85
Madhya Pradesh,turmeric,Rabi,3.99,1724.64,279.55,46.71
Karnataka,pulses,Zaid,17.72,661.77,67.28,22.31
Kerala,pulses,Kharif,14.77,1842.91,220.13,41.51
Uttar Pradesh,cumin,Kharif,11.36,1577.41,83.77,26.71
Haryana,millet,Zaid,2.84,2633.45,193.83,49.68
Assam,coriander,Rabi,4.39,678.68,164.77,30.42
Telangana,coriander,Rabi,6.15,1629.09,281.12,42.37
Haryana,sugarcane,Rabi,6.71,1913.4,176.8,90.01
Haryana,cotton,Kharif,11.72,2473.95,169.16,43.79
Telangana,pulses,Kharif,17.38,790.2,237.54,26.82
West Bengal,millet,Rabi,16.12,1235.41,184.48,39.34
Madhya Pradesh,pulses,Rabi,14.6,1593.61,186.49,37.64
Maharashtra,groundnut,Rabi,19.38,538.53,207.46,39.01
Uttar Pradesh,tea,Kharif,1.89,548.95,89.16,32.4
Uttar Pradesh,pulses,Kharif,18.18,905.08,167.35,27.75
Haryana,sugarcane,Zaid,16.93,1834.91,102.43,91.06
Tamil Nadu,tea,Rabi,12.59,1721.89,347.7,52.55
Karnataka,tea,Rabi,1.31,1747.1,191.46,40.15
Karnataka,turmeric,Zaid,3.12,817.04,86.11,37.41
West Bengal,tea,Kharif,17.54,1779.79,244.51,37.94
Tamil Nadu,rice,Zaid,8.0,2577.03,238.26,56.64
Madhya Pradesh,groundnut,Rabi,14.06,977.37,251.9,46.32
Andhra Pradesh,tea,Kharif,18.14,697.55,216.48,32.85
Tamil Nadu,ginger,Zaid,18.0,1568.75,92.52,37.14
West Bengal,cotton,Kharif,12.95,1441.44,221.4,42.01
Bihar,chilli,Zaid,9.17,2838.5,329.39,57.13
Tamil Nadu,coriander,Kharif,9.84,1024.51,216.53,31.61
Odisha,cotton,Kharif,4.15,2655.56,226.8,47.71
Assam,pulses,Kharif,17.22,1938.32,284.87,37.99
Punjab,tea,Kharif,15.12,1246.96,84.85,35.02
Odisha,soybean,Zaid,2.06,428.38,275.04,38.43
Kerala,cumin,Zaid,14.34,2707.52,335.02,57.12
Madhya Pradesh,turmeric,Rabi,15.38,2344.29,326.05,60.42
Haryana,rice,Kharif,0.62,1953.73,171.07,51.38
Uttar Pradesh,coffee,Zaid,11.13,659.78,289.53,39.85
Tamil Nadu,rice,Kharif,16.98,2790.19,252.89,57.56
Telangana,cumin,Kharif,16.35,1574.67,161.43,28.38
Rajasthan,maize,Kharif,9.66,1069.87,173.13,41.85
Maharashtra,tea,Zaid,16.6,1365.73,99.77,39.31
Punjab,ginger,Zaid,16.13,1204.04,297.95,44.44
Rajasthan,tea,Kharif,13.77,1681.54,131.35,40.58
Madhya Pradesh,pulses,Rabi,5.02,1401.21,347.5,41.09
Karnataka,sugarcane,Zaid,5.81,1565.46,229.8,94.41
Bihar,soybean,Kharif,6.42,1467.85,52.65,43.23
Assam,rice,Rabi,15.82,1891.56,273.21,56.44
Rajasthan,pulses,Rabi,4.63,2659.55,203.55,45.8
Telangana,rice,Kharif,16.13,664.19,139.8,41.96
Madhya Pradesh,cumin,Kharif,16.78,1879.8,328.82,40.08
Assam,ginger,Zaid,6.79,1176.73,315.68,48.44
Telangana,wheat,Zaid,1.33,723.34,290.49,43.35
Maharashtra,sugarcane,Rabi,14.39,2277.59,66.92,95.53
Karnataka,cumin,Rabi,6.83,686.69,164.96,28.64
Madhya Pradesh,millet,Kharif,18.23,1110.58,245.2,43.98
Telangana,maize,Rabi,15.03,1631.84,233.19,47.03
Haryana,sugarcane,Kharif,9.71,2862.67,45.52,90.14
Uttar Pradesh,turmeric,Rabi,12.67,393.17,105.87,35.43
Kerala,tea,Rabi,10.0,2896.07,199.9,44.44
Punjab,rice,Zaid,5.4,930.7,73.01,48.62
Uttar Pradesh,sugarcane,Kharif,6.42,567.08,201.54,87.18
Telangana,maize,Rabi,7.12,1326.37,101.45,43.41
Assam,rice,Kharif,7.57,1397.24,72.73,40.97
Bihar,pulses,Zaid,12.5,2593.52,234.83,43.26
Karnataka,cotton,Kharif,18.77,1393.21,250.08,34.49
Odisha,cumin,Rabi,4.29,2277.78,187.02,39.02
Rajasthan,rice,Kharif,19.43,728.91,208.72,44.8
Uttar Pradesh,millet,Zaid,17.76,655.94,158.88,33.75
Maharashtra,tea,Kharif,14.32,1615.23,191.11,37.73
Maharashtra,coffee,Rabi,2.79,808.89,59.01,25.98
Assam,chilli,Kharif,1.06,454.18,302.91,39.0
Uttar Pradesh,turmeric,Kharif,3.61,623.61,60.8,32.71
Karnataka,cotton,Rabi,13.1,1898.66,173.01,38.08
Telangana,sugarcane,Zaid,14.11,1712.88,65.91,85.96
Haryana,cumin,Kharif,13.72,465.01,156.58,24.37
West Bengal,rice,Zaid,16.5,1700.5,49.23,43.46
Madhya Pradesh,rice,Rabi,12.92,2411.12,223.37,61.13
Madhya Pradesh,tea,Zaid,12.4,2404.68,114.09,44.97
Telangana,pulses,Zaid,5.57,2082.92,74.95,31.12
Kerala,turmeric,Kharif,7.56,2391.57,80.33,46.77
Andhra Pradesh,tea,Rabi,11.87,886.99,236.13,33.3
West Bengal,sugarcane,Zaid,9.6,1983.56,206.93,95.27
Haryana,ginger,Zaid,8.78,1333.58,231.31,44.92
Uttar Pradesh,groundnut,Zaid,5.65,536.36,331.84,42.53
Punjab,chilli,Zaid,19.51,525.87,226.0,37.67
Punjab,maize,Rabi,6.75,2811.28,338.09,62.67
Uttar Pradesh,millet,Rabi,10.73,2513.8,303.11,52.11
Tamil Nadu,ginger,Rabi,1.12,1628.4,195.08,44.54
Madhya Pradesh,maize,Zaid,14.52,972.7,46.09,31.93
Tamil Nadu,rice,Rabi,2.44,885.09,320.1,54.42
Punjab,maize,Rabi,4.86,556.56,280.77,40.1
Bihar,cotton,Rabi,10.57,2917.07,308.44,57.69
Haryana,turmeric,Zaid,14.7,1851.65,154.36,43.35
Odisha,pulses,Kharif,8.01,1494.13,72.69,26.79
Tamil Nadu,chilli,Kharif,17.42,2141.57,122.09,46.09
Karnataka,wheat,Zaid,19.47,440.82,82.19,37.26
Kerala,coffee,Rabi,7.14,908.42,250.34,39.12
Madhya Pradesh,chilli,Zaid,10.62,2682.39,118.56,47.43
Uttar Pradesh,coriander,Kharif,7.41,768.45,128.12,31.69
Andhra Pradesh,ginger,Kharif,2.69,1251.44,125.47,43.28
Assam,sugarcane,Zaid,1.99,1217.14,218.15,90.87
Madhya Pradesh,soybean,Rabi,19.85,707.35,103.38,35.75
Maharashtra,wheat,Kharif,2.76,1659.93,90.06,43.49
Karnataka,maize,Zaid,15.56,1605.29,192.33,47.96
Kerala,tea,Rabi,0.61,2406.99,328.14,54.51
Haryana,groundnut,Rabi,16.01,769.2,132.56,38.06
Madhya Pradesh,maize,Rabi,19.29,1382.37,162.86,43.0
Maharashtra,soybean,Kharif,1.92,2538.48,212.41,52.67
Telangana,pulses,Rabi,1.7,1362.56,154.56,35.95
Maharashtra,coriander,Rabi,3.13,2595.19,102.55,45.09
Kerala,coffee,Rabi,15.69,2570.05,195.45,42.81
Madhya Pradesh,ginger,Zaid,17.72,334.37,198.09,39.22
Karnataka,coffee,Rabi,8.87,961.62,298.93,38.07
Telangana,groundnut,Rabi,5.61,656.05,222.22,44.43
Tamil Nadu,coffee,Kharif,3.17,2556.44,336.86,50.59
West Bengal,coffee,Zaid,2.55,1226.02,283.42,41.53
Punjab,soybean,Kharif,18.07,1363.77,111.34,39.72
Haryana,ginger,Zaid,18.55,2870.42,264.21,60.02
Haryana,rice,Zaid,8.26,1058.95,139.87,44.9
Kerala,ginger,Kharif,19.67,2329.06,49.83,43.14
Odisha,millet,Rabi,16.67,1715.39,328.97,44.93
Odisha,soybean,Rabi,16.94,469.97,122.5,29.22
West Bengal,coriander,Rabi,11.46,1934.82,187.66,36.76
West Bengal,millet,Zaid,6.51,1203.86,115.95,31.86
West Bengal,pulses,Kharif,10.59,2138.73,315.15,44.26
Madhya Pradesh,soybean,Kharif,9.49,1203.1,131.46,35.52
Odisha,coffee,Zaid,6.53,735.95,254.73,31.47
Telangana,cumin,Kharif,7.28,2418.33,169.62,42.54
Odisha,coffee,Rabi,11.84,2691.35,259.22,51.34
Haryana,cotton,Kharif,10.89,2031.97,310.02,43.75
Uttar Pradesh,rice,Kharif,9.04,2583.67,195.69,60.67
Madhya Pradesh,pulses,Kharif,1.56,2483.18,344.91,51.23
Madhya Pradesh,turmeric,Zaid,15.36,501.35,290.25,40.0
Tamil Nadu,cotton,Rabi,5.26,856.41,345.47,38.14
Rajasthan,cumin,Kharif,3.1,2834.67,311.05,52.73
Tamil Nadu,coffee,Rabi,7.13,975.52,123.9,36.5
Kerala,rice,Zaid,6.73,1228.1,309.61,50.6
Madhya Pradesh,ginger,Rabi,2.36,1619.8,219.24,42.15
Odisha,coffee,Kharif,7.01,639.61,348.69,40.08
Uttar Pradesh,wheat,Kharif,9.46,501.63,178.49,37.37
Tamil Nadu,ginger,Kharif,14.63,1893.85,291.23,55.14
Madhya Pradesh,tea,Kharif,18.43,435.58,101.69,26.37
Maharashtra,rice,Rabi,10.86,421.93,179.07,41.65
Odisha,ginger,Zaid,6.24,2473.09,44.2,48.48
Rajasthan,sugarcane,Kharif,5.72,1021.71,224.51,87.06
Odisha,chilli,Kharif,2.74,1857.49,151.71,45.99
Telangana,cotton,Kharif,16.79,1520.71,56.57,36.86
Andhra Pradesh,sugarcane,Kharif,16.88,1482.39,323.36,99.03
Bihar,wheat,Rabi,17.76,2254.44,288.03,58.51
Kerala,ginger,Rabi,4.29,2644.86,144.05,49.21
Bihar,pulses,Kharif,18.53,997.27,63.08,31.07
Haryana,ginger,Zaid,10.02,476.3,195.33,36.27
Kerala,coriander,Zaid,14.71,1737.61,320.72,45.06
Assam,sugarcane,Rabi,10.55,303.5,254.77,83.4
Maharashtra,sugarcane,Rabi,17.34,321.09,228.56,82.13
Uttar Pradesh,coffee,Rabi,18.81,2022.03,343.91,46.25
Karnataka,wheat,Kharif,12.74,2002.51,120.45,48.51
Karnataka,cotton,Zaid,13.51,1280.01,117.85,27.97
Telangana,cumin,Rabi,7.35,1781.03,82.71,37.23
Punjab,sugarcane,Rabi,15.76,1262.13,65.97,83.2
Assam,maize,Kharif,7.79,2678.6,114.05,55.17
Telangana,cumin,Rabi,14.26,907.12,173.0,30.92
West Bengal,pulses,Zaid,8.62,2896.65,170.42,39.97
Haryana,millet,Rabi,1.91,2835.29,311.86,50.25
Bihar,pulses,Kharif,14.88,448.5,238.23,27.49
Haryana,cumin,Rabi,8.91,1286.14,194.99,31.02
Andhra Pradesh,chilli,Rabi,10.73,2477.45,78.06,45.62
Odisha,tea,Zaid,17.67,2485.23,307.91,52.47
Maharashtra,maize,Zaid,4.13,331.13,321.27,44.22
Telangana,millet,Zaid,12.95,1299.94,290.58,47.8
Bihar,rice,Kharif,18.99,769.24,51.05,32.4
Kerala,soybean,Zaid,6.22,2979.82,269.95,60.8
Odisha,coriander,Kharif,3.28,860.86,284.44,35.78
Rajasthan,soybean,Rabi,14.1,2292.6,306.02,50.38
Rajasthan,cotton,Rabi,10.57,1800.57,162.22,40.24
Punjab,ginger,Zaid,14.98,2153.16,303.4,51.22
Odisha,maize,Kharif,7.14,2482.93,305.47,52.97
Punjab,groundnut,Kharif,5.19,641.44,207.27,44.12
Andhra Pradesh,maize,Kharif,2.58,1192.57,270.2,46.97
Maharashtra,soybean,Kharif,6.99,2816.29,304.26,58.74
Karnataka,rice,Kharif,1.8,2443.69,204.42,64.11
Maharashtra,soybean,Rabi,19.11,1022.39,242.27,40.57
Rajasthan,wheat,Zaid,1.96,2964.82,201.48,57.8
Haryana,coffee,Zaid,3.43,2118.85,316.97,46.94
Maharashtra,ginger,Zaid,13.0,1218.18,80.3,39.13
Assam,wheat,Rabi,6.27,2064.17,315.32,60.34
Kerala,cotton,Kharif,15.76,1286.91,78.07,34.21
Karnataka,rice,Kharif,18.73,2558.52,135.27,53.67
Punjab,rice,Kharif,12.82,1573.37,218.93,51.66
Uttar Pradesh,rice,Rabi,7.22,1838.44,75.74,45.94
Haryana,groundnut,Kharif,10.14,2894.8,293.3,63.57
Odisha,coriander,Rabi,6.21,1207.43,84.64,34.0
West Bengal,soybean,Rabi,17.42,701.08,197.52,33.86
Tamil Nadu,sugarcane,Rabi,15.25,1658.05,82.44,87.32
Tamil Nadu,millet,Rabi,18.07,1376.22,184.8,37.32
West Bengal,ginger,Zaid,5.87,2646.71,100.03,56.07
Karnataka,wheat,Rabi,14.57,1424.5,287.02,56.61
Assam,ginger,Kharif,14.01,1250.57,232.04,44.33
Odisha,turmeric,Rabi,15.85,984.29,167.22,38.12
Andhra Pradesh,coriander,Zaid,4.25,512.89,63.66,30.32
