N,P,K,temperature,humidity,ph,rainfall,label
93,42,64,26.78,74.79,6.62,121.72,sugarcane
95,45,60,26.08,68.66,7.32,239.41,sugarcane
126,51,56,20.26,84.29,6.12,138.15,sugarcane
120,46,60,20.63,72.39,6.73,197.77,sugarcane
103,47,62,30.63,66.67,7.23,162.03,sugarcane
101,43,51,30.5,83.22,7.08,237.11,sugarcane
134,48,68,21.54,84.84,7.27,240.06,sugarcane
135,46,68,27.16,73.72,7.05,120.78,sugarcane
115,41,67,30.73,84.08,6.47,224.18,sugarcane
128,55,58,28.68,77.46,6.23,240.57,sugarcane
100,43,69,22.52,70.41,6.28,135.92,sugarcane
111,44,67,31.2,70.82,7.34,193.77,sugarcane
130,51,52,23.55,80.12,6.67,157.92,sugarcane
125,47,52,28.51,76.43,6.49,142.75,sugarcane
122,58,51,24.69,72.74,7.48,202.47,sugarcane
115,53,67,21.24,66.31,6.07,238.89,sugarcane
98,59,53,24.38,81.84,6.75,179.18,sugarcane
101,42,52,26.83,77.96,6.48,229.92,sugarcane
135,46,50,27.32,72.77,7.02,147.42,sugarcane
104,45,57,28.02,78.19,6.82,120.3,sugarcane
110,44,57,29.92,71.19,6.1,127.0,sugarcane
102,41,51,21.81,75.15,7.19,231.79,sugarcane
97,51,68,27.62,74.57,6.39,155.09,sugarcane
114,52,54,25.99,75.4,7.45,180.06,sugarcane
111,51,69,22.89,82.46,6.42,213.2,sugarcane
96,48,56,22.92,71.1,7.26,224.59,sugarcane
109,42,52,29.9,68.83,6.36,195.1,sugarcane
117,44,64,22.89,67.14,6.11,181.55,sugarcane
121,52,67,25.03,77.8,6.2,142.28,sugarcane
134,55,69,28.61,73.82,6.85,158.03,sugarcane
124,54,50,20.3,77.57,7.46,230.55,sugarcane
136,59,56,25.74,72.71,6.56,230.5,sugarcane
107,55,59,21.61,83.82,6.47,213.96,sugarcane
97,52,61,24.5,83.94,6.6,223.82,sugarcane
111,44,69,24.83,80.03,6.34,190.16,sugarcane
112,50,57,20.96,78.52,7.09,169.61,sugarcane
134,50,52,22.37,66.39,7.31,215.63,sugarcane
121,41,52,24.92,71.29,6.32,179.06,sugarcane
92,59,69,22.65,77.41,6.26,122.26,sugarcane
123,45,50,25.78,81.2,6.64,190.56,sugarcane
90,45,54,20.31,68.61,7.38,236.99,sugarcane
103,59,66,26.87,77.64,6.13,127.86,sugarcane
123,55,53,24.69,73.6,6.84,202.51,sugarcane
104,53,66,29.3,66.48,7.07,192.48,sugarcane
131,50,61,27.52,80.94,6.99,239.96,sugarcane
125,54,62,20.68,73.8,6.28,201.66,sugarcane
100,42,61,22.41,82.7,6.31,172.09,sugarcane
115,48,60,21.04,67.71,7.28,244.94,sugarcane
123,41,65,24.5,67.61,6.67,172.16,sugarcane
138,46,50,21.47,76.52,6.26,197.56,sugarcane
113,51,50,29.99,69.93,6.77,210.97,sugarcane
95,40,66,24.87,66.81,6.94,130.09,sugarcane
115,56,54,24.43,67.82,7.09,208.64,sugarcane
122,42,59,28.85,78.23,6.01,157.31,sugarcane
108,55,51,27.25,82.11,6.17,221.4,sugarcane
101,51,56,28.22,69.58,6.36,138.04,sugarcane
128,59,58,20.31,76.5,6.18,197.02,sugarcane
123,51,51,20.03,72.26,7.14,240.59,sugarcane
121,48,54,26.31,66.26,6.66,160.82,sugarcane
96,41,69,30.38,74.53,6.74,188.78,sugarcane
98,40,64,27.52,82.54,7.27,184.0,sugarcane
126,57,67,22.31,70.07,7.37,185.07,sugarcane
115,55,67,22.84,81.67,7.17,184.97,sugarcane
104,48,61,26.34,65.05,6.35,150.93,sugarcane
111,44,50,20.84,75.2,6.36,153.35,sugarcane
132,45,59,30.65,84.44,6.08,239.96,sugarcane
120,41,53,20.31,84.77,7.4,180.96,sugarcane
135,46,65,30.06,80.39,7.42,235.77,sugarcane
101,49,62,29.68,80.96,6.09,221.47,sugarcane
95,51,50,25.61,82.64,6.7,198.66,sugarcane
95,48,51,22.31,65.66,7.05,129.49,sugarcane
127,42,53,30.88,74.16,6.05,209.57,sugarcane
94,59,63,22.83,70.03,7.27,186.96,sugarcane
138,49,69,28.85,71.47,7.22,239.09,sugarcane
135,53,51,26.26,66.58,7.4,188.7,sugarcane
105,48,64,23.54,71.03,6.05,206.98,sugarcane
101,44,60,31.95,73.65,7.32,170.32,sugarcane
126,53,68,20.78,71.51,6.95,244.41,sugarcane
135,47,53,22.99,78.97,7.38,159.82,sugarcane
118,45,69,25.53,73.27,6.3,228.12,sugarcane
119,56,67,24.03,78.41,6.17,135.07,sugarcane
115,47,69,29.29,71.11,7.05,163.17,sugarcane
123,53,67,20.42,77.92,6.75,235.21,sugarcane
139,42,69,24.66,84.07,6.16,234.92,sugarcane
127,40,64,23.63,65.82,6.06,196.53,sugarcane
93,52,66,28.14,67.71,6.18,244.38,sugarcane
138,49,63,24.22,76.87,6.5,142.77,sugarcane
124,52,66,31.69,82.91,6.34,203.07,sugarcane
126,43,55,31.19,70.53,6.89,128.91,sugarcane
91,40,53,26.78,80.87,7.32,137.54,sugarcane
104,51,53,22.95,76.28,7.45,248.77,sugarcane
125,52,51,30.52,71.23,6.88,195.98,sugarcane
128,58,67,27.17,67.69,6.82,199.47,sugarcane
92,41,51,23.0,79.3,7.24,136.13,sugarcane
119,41,64,25.92,76.01,6.87,138.77,sugarcane
126,44,55,24.28,70.7,6.64,181.33,sugarcane
94,47,56,25.21,73.26,7.07,181.32,sugarcane
97,45,56,25.72,76.67,6.96,217.05,sugarcane
91,42,53,24.1,68.46,6.79,177.15,sugarcane
103,52,68,31.22,67.01,6.61,158.4,sugarcane
133,48,69,30.45,66.6,6.95,206.39,sugarcane
100,52,53,30.82,83.97,6.43,228.71,sugarcane
93,51,59,25.08,73.59,6.19,247.98,sugarcane
116,46,69,23.43,84.03,7.32,242.79,sugarcane
102,47,67,30.46,76.61,6.81,186.65,sugarcane
131,50,66,24.9,70.15,6.02,141.86,sugarcane
92,53,55,20.21,82.51,6.96,130.49,sugarcane
136,53,61,22.22,67.94,6.5,234.1,sugarcane
99,53,53,25.61,77.28,6.89,179.29,sugarcane
120,41,52,20.45,68.07,6.85,209.82,sugarcane
100,40,66,28.71,69.22,6.97,147.19,sugarcane
96,58,61,21.72,66.06,7.16,187.86,sugarcane
93,46,68,25.58,67.3,7.29,234.75,sugarcane
115,54,57,30.0,79.3,6.95,141.14,sugarcane
114,58,56,25.92,68.55,7.38,165.83,sugarcane
121,58,56,24.62,80.39,6.45,249.92,sugarcane
103,40,60,28.47,82.31,6.39,239.88,sugarcane
112,44,54,30.62,65.18,6.76,159.44,sugarcane
132,55,52,26.05,75.07,7.49,217.27,sugarcane
102,46,50,21.88,69.33,6.88,236.77,sugarcane
95,50,66,22.52,73.55,7.41,155.09,sugarcane
91,53,66,22.58,66.0,6.12,206.72,sugarcane
135,47,63,25.52,70.66,6.76,227.37,sugarcane
133,42,55,26.41,65.66,6.73,141.21,sugarcane
129,53,64,21.01,77.19,7.3,136.09,sugarcane
131,42,66,26.08,77.32,6.08,122.66,sugarcane
96,48,64,25.74,70.67,6.14,137.83,sugarcane
137,47,68,25.14,78.32,6.56,184.67,sugarcane
126,53,63,30.82,78.67,6.83,166.38,sugarcane
129,58,59,28.84,75.88,6.66,170.17,sugarcane
130,44,67,23.54,72.85,6.85,199.54,sugarcane
119,55,57,28.38,70.81,6.66,193.97,sugarcane
128,53,63,20.86,79.54,6.13,248.58,sugarcane
95,49,67,29.64,70.73,6.3,236.23,sugarcane
126,46,61,30.26,81.65,7.21,173.75,sugarcane
139,55,53,30.57,75.98,6.7,198.33,sugarcane
94,50,69,21.23,73.13,7.11,194.15,sugarcane
124,44,57,27.32,68.11,6.7,149.74,sugarcane
99,53,56,26.78,81.26,6.78,222.46,sugarcane
100,45,60,27.25,65.07,7.02,144.14,sugarcane
123,59,59,28.33,82.7,7.3,185.16,sugarcane
134,57,60,28.55,69.69,6.68,249.12,sugarcane
103,47,68,29.58,78.93,6.74,239.86,sugarcane
94,59,69,21.55,84.87,7.25,239.1,sugarcane
110,54,55,31.17,84.08,6.44,204.47,sugarcane
103,43,54,20.62,75.08,6.36,129.94,sugarcane
137,46,57,20.12,81.27,6.36,238.29,sugarcane
137,50,53,24.15,77.55,6.76,206.42,sugarcane
129,57,60,22.81,80.15,6.53,205.6,sugarcane
103,54,65,31.25,78.15,7.43,150.19,sugarcane
128,58,67,24.58,71.08,7.46,144.88,sugarcane
99,46,68,25.77,79.46,7.48,236.15,sugarcane
129,42,66,26.2,65.17,6.07,182.19,sugarcane
90,54,62,25.53,66.11,6.84,153.47,sugarcane
108,41,65,27.32,78.82,7.45,176.57,sugarcane
123,50,50,25.63,76.33,7.44,139.2,sugarcane
100,45,59,30.17,83.2,6.74,240.67,sugarcane
95,49,58,23.75,69.78,7.2,196.1,sugarcane
108,50,52,28.2,66.71,7.41,173.89,sugarcane
116,57,68,25.0,80.09,6.94,200.01,sugarcane
111,54,65,21.55,80.71,6.29,149.47,sugarcane
133,52,52,20.76,76.99,6.35,208.89,sugarcane
107,51,58,27.05,78.64,7.33,184.01,sugarcane
97,56,69,29.64,69.83,7.22,204.47,sugarcane
63,36,20,28.84,56.74,5.59,59.92,millet
44,24,25,32.16,41.45,6.95,77.04,millet
50,23,36,27.79,52.69,5.53,81.69,millet
43,32,28,33.96,51.17,6.32,62.61,millet
57,35,22,28.53,51.24,6.43,77.69,millet
46,39,34,29.79,52.78,5.78,86.62,millet
50,33,22,27.81,45.46,5.63,69.13,millet
40,38,27,26.01,47.03,6.26,74.94,millet
50,29,36,34.76,41.27,5.59,63.48,millet
49,39,38,30.57,44.01,6.97,50.59,millet
65,31,30,28.18,59.89,6.82,43.04,millet
61,22,32,34.09,48.85,5.91,71.82,millet
53,30,24,31.39,56.6,5.99,77.24,millet
40,30,26,29.11,42.75,5.98,59.35,millet
50,38,25,34.74,44.67,5.6,47.44,millet
45,29,37,27.63,43.01,6.91,61.57,millet
67,23,21,27.51,42.6,6.82,65.44,millet
40,38,37,27.15,43.27,6.41,46.65,millet
42,33,32,26.74,58.53,5.95,71.47,millet
56,35,36,26.22,59.95,6.29,88.27,millet
51,32,38,29.94,48.46,6.88,71.78,millet
62,31,24,31.28,45.04,6.87,50.99,millet
58,29,25,33.27,55.01,5.57,87.04,millet
58,34,37,26.95,42.61,6.83,85.99,millet
68,39,31,29.94,58.88,6.3,65.19,millet
69,20,23,27.64,44.8,6.75,80.81,millet
56,30,38,28.38,47.79,6.32,78.48,millet
59,32,25,29.34,52.28,5.96,66.29,millet
55,29,28,32.89,42.57,6.39,40.4,millet
51,39,25,32.48,43.6,6.18,55.03,millet
64,28,35,32.21,46.83,6.88,83.24,millet
49,26,32,25.84,42.15,6.99,45.65,millet
44,21,38,27.44,54.46,5.55,70.76,millet
65,36,20,33.29,54.57,6.07,75.46,millet
41,32,20,28.12,49.46,5.82,67.33,millet
40,37,23,30.71,59.27,6.01,52.43,millet
68,38,32,32.54,44.46,6.71,49.24,millet
46,26,24,34.43,45.88,6.1,86.0,millet
55,37,36,29.15,52.99,6.73,83.38,millet
65,39,39,25.68,49.99,5.53,57.91,millet
46,22,22,33.0,50.84,6.88,57.06,millet
47,26,24,30.38,49.12,6.7,77.57,millet
49,31,27,27.82,53.9,5.7,85.23,millet
65,37,32,27.22,49.15,6.02,62.52,millet
40,27,28,30.82,53.97,6.88,69.26,millet
54,35,36,30.54,46.49,5.83,54.3,millet
69,26,25,33.91,57.57,5.84,46.21,millet
44,25,33,25.57,48.15,6.99,56.44,millet
40,26,35,30.84,43.36,5.77,67.09,millet
49,31,32,33.14,59.89,6.19,54.75,millet
52,37,26,28.44,56.74,6.1,78.04,millet
59,20,22,33.5,53.59,6.83,85.68,millet
52,38,38,28.4,44.53,6.51,70.32,millet
44,28,33,28.06,47.41,5.99,58.67,millet
40,35,38,27.75,40.75,6.83,52.47,millet
41,31,34,29.16,43.96,5.88,53.75,millet
51,29,34,33.17,47.61,6.31,56.76,millet
49,30,37,32.18,47.97,6.96,45.56,millet
43,22,38,28.08,55.08,5.95,88.52,millet
53,27,34,27.93,59.46,6.09,77.97,millet
40,39,34,34.33,55.99,6.07,71.54,millet
65,20,27,31.12,48.13,6.63,66.37,millet
57,39,30,27.57,45.87,6.33,86.55,millet
57,31,35,31.04,49.84,6.24,62.59,millet
43,24,30,27.2,49.56,6.74,60.14,millet
47,29,38,25.75,57.99,5.62,67.75,millet
58,23,36,27.0,44.85,5.63,56.88,millet
63,21,26,25.98,46.18,6.08,77.56,millet
48,24,21,31.45,53.86,6.65,55.6,millet
62,31,31,25.47,53.51,6.68,74.11,millet
60,30,27,28.33,46.89,6.88,75.81,millet
61,31,34,34.24,40.2,6.94,45.89,millet
67,20,28,32.74,49.99,5.57,51.16,millet
48,20,23,33.26,49.97,5.69,61.04,millet
68,23,37,27.19,58.66,5.99,58.18,millet
47,28,33,32.01,54.5,6.45,43.23,millet
63,21,25,32.94,46.73,6.1,63.06,millet
43,34,30,33.63,48.78,6.81,54.0,millet
45,33,26,31.78,45.44,6.92,76.59,millet
61,33,33,29.94,45.66,5.84,53.91,millet
62,36,29,34.77,57.7,6.8,52.72,millet
51,26,33,33.71,59.51,5.95,58.47,millet
43,30,38,29.5,52.27,6.88,73.62,millet
43,28,21,25.94,58.98,5.52,48.06,millet
54,27,29,34.06,40.17,6.98,57.04,millet
67,20,39,34.91,49.59,5.68,84.58,millet
68,30,26,25.64,40.79,6.27,79.24,millet
45,33,31,29.29,45.9,6.42,66.25,millet
64,26,39,32.06,58.73,6.85,73.82,millet
69,30,36,32.83,40.24,5.69,84.2,millet
47,21,22,34.28,41.83,6.04,89.26,millet
65,20,20,25.1,42.49,6.9,63.03,millet
61,35,31,32.23,59.47,6.11,76.25,millet
42,36,31,34.55,48.04,6.83,68.33,millet
64,23,35,32.57,59.92,6.01,59.77,millet
48,36,34,30.98,49.34,5.51,40.63,millet
60,30,39,32.7,46.5,6.09,52.06,millet
67,25,22,32.85,44.76,6.05,51.32,millet
59,35,33,33.47,40.69,6.34,71.81,millet
64,27,28,29.32,55.62,6.89,70.28,millet
67,38,21,32.25,59.31,5.6,73.8,millet
54,34,28,26.7,42.02,6.35,42.95,millet
66,35,34,30.27,41.98,6.98,75.55,millet
42,35,34,26.51,41.66,5.85,60.09,millet
44,20,27,28.18,43.01,6.32,55.34,millet
58,25,26,28.09,57.09,6.52,71.01,millet
64,38,32,34.65,42.26,5.59,68.07,millet
67,27,21,25.77,58.36,5.6,51.5,millet
41,23,30,34.58,50.75,6.86,74.45,millet
57,33,36,33.75,53.93,5.79,73.53,millet
68,36,26,34.56,48.64,5.86,68.48,millet
46,35,28,25.4,45.76,5.53,52.3,millet
59,36,21,25.17,55.31,6.54,47.15,millet
45,29,30,25.63,46.75,5.76,64.05,millet
49,31,22,27.37,55.28,5.67,69.5,millet
66,37,37,26.63,51.61,5.68,64.4,millet
51,23,39,32.08,58.3,5.76,69.95,millet
43,20,36,26.1,41.32,5.89,46.89,millet
64,35,20,26.23,47.0,6.72,48.22,millet
62,31,37,31.32,45.08,6.59,70.53,millet
69,20,26,28.28,47.85,6.8,86.95,millet
67,38,28,28.7,47.57,5.65,48.62,millet
45,34,25,26.54,40.2,6.02,73.99,millet
62,22,34,29.03,42.22,6.59,80.75,millet
47,29,28,31.75,47.62,6.84,46.68,millet
65,38,34,31.87,48.56,5.55,42.23,millet
58,25,39,30.83,56.6,6.34,68.05,millet
47,35,35,28.73,44.8,6.88,78.24,millet
45,34,36,33.65,58.19,6.41,54.36,millet
49,27,31,33.87,49.61,5.63,70.23,millet
53,25,21,27.24,52.29,5.97,45.32,millet
67,38,39,30.34,53.95,5.74,44.17,millet
58,28,30,32.66,49.96,6.48,55.91,millet
48,36,37,33.81,55.15,6.89,64.89,millet
55,27,32,30.98,50.28,6.1,62.5,millet
69,33,33,28.1,43.33,6.51,79.16,millet
65,29,37,29.81,50.56,6.11,54.88,millet
54,21,25,29.4,45.81,6.61,85.65,millet
68,38,39,32.31,53.27,6.46,59.02,millet
64,39,33,29.37,55.63,6.85,53.16,millet
40,23,33,25.01,49.15,6.41,55.72,millet
49,37,36,31.37,46.62,6.65,66.81,millet
69,26,30,33.5,55.14,6.83,86.08,millet
65,35,31,33.81,52.97,6.92,64.5,millet
48,27,28,31.44,51.21,6.48,49.71,millet
48,35,30,29.32,45.94,6.8,64.96,millet
56,22,27,34.4,41.33,6.07,49.13,millet
58,21,28,27.74,57.56,5.67,72.56,millet
53,24,31,33.46,47.13,5.6,64.46,millet
67,27,28,28.65,56.8,6.03,78.33,millet
47,39,22,31.45,53.1,5.89,49.42,millet
68,29,36,31.96,48.57,6.99,43.07,millet
57,36,32,30.95,43.84,6.75,64.28,millet
59,39,28,34.5,53.52,6.44,64.9,millet
51,20,28,25.67,55.2,5.79,69.76,millet
43,22,37,31.68,40.34,6.68,74.37,millet
41,24,37,27.56,40.7,6.19,40.23,millet
46,27,31,27.36,58.78,5.73,42.78,millet
69,22,35,31.38,55.55,6.77,60.91,millet
46,37,37,25.33,55.35,6.21,52.61,millet
65,29,28,32.91,55.24,5.67,45.86,millet
63,26,28,33.27,52.19,6.58,85.58,millet
66,27,35,34.55,47.29,6.9,68.84,millet
49,32,36,29.64,56.31,7.0,63.22,millet
63,32,33,34.98,44.05,5.9,74.42,millet
68,31,36,32.53,40.69,6.4,47.89,millet
40,22,23,30.51,52.23,6.33,83.51,millet
47,25,28,30.51,54.25,5.7,60.55,millet
40,35,29,27.55,51.17,6.47,50.38,millet
48,39,23,27.73,58.01,6.55,67.12,millet
54,22,25,26.71,44.73,6.01,73.35,millet
44,35,29,26.11,52.96,6.44,78.01,millet
65,26,28,31.62,50.31,6.39,82.79,millet
59,34,20,28.37,41.94,5.59,61.15,millet
53,34,37,28.89,59.25,5.55,82.05,millet
44,38,24,32.47,57.39,6.23,44.59,millet
49,39,33,34.04,55.16,6.03,60.16,millet
67,32,25,32.02,56.34,5.96,78.25,millet
62,22,32,29.32,50.51,6.48,88.37,millet
56,20,33,32.71,59.45,6.42,82.64,millet
54,28,29,28.86,53.41,5.71,48.94,millet
59,30,26,27.92,55.73,6.93,80.73,millet
68,35,28,31.42,52.52,6.09,79.82,millet
66,36,27,26.96,40.37,6.47,72.43,millet
54,35,37,25.22,50.52,6.34,44.51,millet
45,36,28,30.5,53.95,6.17,42.21,millet
64,28,26,32.3,42.16,5.59,57.16,millet
61,37,22,27.96,59.12,6.94,58.33,millet
63,22,32,33.43,52.7,5.75,61.62,millet
65,39,27,25.23,47.97,6.68,80.86,millet
56,30,26,28.58,59.67,6.73,69.62,millet
62,22,38,34.31,53.58,6.47,43.77,millet
40,39,31,28.62,59.16,6.55,76.74,millet
51,22,27,26.71,48.45,6.17,89.08,millet
42,21,34,26.38,48.35,6.41,67.03,millet
53,36,33,32.93,52.76,5.83,82.28,millet
43,23,33,28.08,58.87,6.77,40.1,millet
42,29,30,28.24,55.28,6.35,75.17,millet
65,38,31,28.87,52.7,6.5,88.13,millet
52,28,35,33.95,41.28,5.57,85.39,millet
54,31,37,33.23,42.25,6.74,55.39,millet
52,26,34,26.19,47.87,5.8,63.71,millet
49,27,22,27.64,57.33,5.75,41.52,millet
44,30,25,30.96,57.58,6.79,46.65,millet
67,22,30,25.47,54.56,5.96,65.63,millet
67,27,25,29.75,50.09,6.81,70.29,millet
58,37,38,27.0,55.2,6.14,77.33,millet
52,29,26,33.44,59.07,5.82,44.7,millet
67,37,30,29.01,46.15,6.95,48.18,millet
61,32,23,33.72,58.68,6.82,50.71,millet
40,25,28,34.99,40.49,6.83,78.79,millet
48,26,36,34.22,46.5,5.83,58.83,millet
56,27,37,33.23,57.61,6.41,41.34,millet
65,23,29,26.91,57.0,6.85,60.47,millet
43,39,26,34.64,51.11,6.11,68.13,millet
44,25,20,33.37,49.46,6.99,63.11,millet
48,31,33,30.72,40.27,6.2,87.22,millet
48,36,32,25.23,44.49,5.7,64.71,millet
49,27,24,31.38,56.52,5.95,57.97,millet
51,39,39,30.48,48.07,5.8,89.64,millet
47,29,29,26.22,53.89,5.53,45.37,millet
58,20,28,28.07,51.94,6.89,76.73,millet
68,29,33,27.09,51.61,6.48,87.69,millet
66,26,33,32.85,45.49,6.31,87.76,millet
59,33,22,29.71,58.49,5.84,68.0,millet
51,25,36,25.12,41.69,6.77,85.51,millet
48,29,35,27.69,50.07,5.75,70.14,millet
69,39,31,32.24,55.32,6.61,74.05,millet
56,36,25,34.1,55.01,6.59,68.62,millet
48,34,34,30.96,52.91,6.08,54.14,millet
54,27,35,34.72,44.92,6.57,65.85,millet
63,23,23,30.54,52.23,6.65,43.3,millet
51,36,30,28.49,53.35,5.76,77.74,millet
49,27,24,32.04,42.88,6.07,72.35,millet
52,37,26,30.25,55.58,6.77,52.0,millet
62,27,39,26.25,57.71,6.22,46.52,millet
58,31,29,30.36,44.06,6.92,40.68,millet
67,34,22,27.71,45.38,5.66,75.46,millet
65,20,30,31.67,45.4,6.63,48.49,millet
42,27,33,33.35,53.82,6.81,89.17,millet
64,22,32,25.25,58.39,6.33,55.95,millet
62,23,32,32.07,49.33,5.83,68.78,millet
46,31,20,27.64,41.48,6.87,64.48,millet
51,21,32,26.86,52.16,6.05,64.61,millet
51,32,35,25.24,42.71,5.98,45.61,millet
58,25,35,26.34,48.16,5.76,58.18,millet
56,31,24,28.96,45.28,5.77,51.09,millet
57,28,37,31.97,47.76,6.24,51.15,millet
51,36,32,30.07,58.71,6.67,59.0,millet
56,27,35,26.15,53.92,5.55,48.5,millet
37,44,27,23.28,65.39,7.27,83.13,pulses
22,41,24,24.76,69.6,6.87,97.35,pulses
26,52,33,28.69,61.09,6.77,92.04,pulses
36,53,27,24.05,55.36,6.99,79.95,pulses
21,44,22,21.92,52.54,7.46,83.51,pulses
29,50,36,23.57,64.13,6.41,95.56,pulses
35,58,38,23.96,56.23,7.02,84.39,pulses
25,40,36,28.38,66.95,6.8,58.77,pulses
31,51,28,24.12,59.86,7.34,76.22,pulses
38,57,22,26.58,67.6,6.89,94.82,pulses
25,59,20,20.57,58.67,7.32,75.56,pulses
37,49,21,25.95,53.75,6.32,74.81,pulses
36,42,23,29.93,65.82,6.6,44.68,pulses
26,46,34,26.64,62.76,6.0,95.74,pulses
20,58,29,26.57,51.32,6.27,65.33,pulses
26,57,33,20.68,69.89,6.2,94.26,pulses
28,41,24,23.67,63.61,7.25,74.02,pulses
29,44,30,23.94,52.77,6.02,72.19,pulses
32,43,38,23.07,52.79,6.12,70.48,pulses
33,49,35,29.21,63.63,7.44,59.14,pulses
28,52,31,27.49,51.68,6.6,47.13,pulses
20,58,31,28.3,54.71,6.6,68.84,pulses
27,54,33,26.65,55.67,6.5,91.47,pulses
21,51,34,29.78,54.91,6.8,59.41,pulses
31,52,29,23.74,58.63,6.16,93.7,pulses
22,42,24,26.48,67.61,7.29,88.81,pulses
31,42,31,22.67,61.63,6.24,56.29,pulses
35,40,37,29.68,67.95,6.23,55.27,pulses
35,51,30,27.18,67.29,6.07,77.56,pulses
39,55,32,22.68,56.07,6.38,99.57,pulses
29,52,23,27.73,54.75,6.07,90.17,pulses
24,52,37,28.33,50.21,6.09,40.21,pulses
26,50,27,25.17,60.74,7.36,82.6,pulses
34,52,24,21.21,53.54,6.45,54.78,pulses
37,49,27,27.01,65.11,6.21,66.86,pulses
22,43,35,26.14,63.1,6.28,79.17,pulses
26,50,32,22.51,53.58,6.01,64.54,pulses
35,53,23,29.23,51.43,6.81,46.37,pulses
31,52,21,20.66,67.66,6.6,72.02,pulses
34,49,27,23.44,64.65,6.06,59.18,pulses
34,54,36,26.02,66.23,6.32,93.79,pulses
32,53,39,28.33,62.09,6.42,81.78,pulses
23,57,22,25.64,52.77,6.9,55.78,pulses
31,42,34,21.71,54.54,6.07,41.49,pulses
29,44,22,29.92,66.71,7.3,72.83,pulses
26,44,31,25.88,57.81,6.78,52.73,pulses
24,56,32,28.01,50.31,6.66,78.23,pulses
39,47,22,25.2,60.92,6.06,69.65,pulses
21,52,20,25.79,60.33,7.08,88.3,pulses
39,44,39,23.22,55.49,6.16,76.35,pulses
21,55,37,24.75,53.01,6.94,65.81,pulses
28,40,28,24.66,52.19,7.32,72.02,pulses
36,53,29,22.46,62.49,6.85,49.75,pulses
38,42,30,25.56,52.2,6.99,63.4,pulses
33,45,29,26.01,66.02,7.35,43.93,pulses
29,47,20,20.34,52.82,7.02,69.87,pulses
28,54,35,27.73,64.28,7.3,52.48,pulses
36,49,36,27.83,56.96,7.21,43.56,pulses
28,59,33,29.37,57.57,6.2,50.5,pulses
32,45,23,29.66,52.71,7.0,61.87,pulses
20,47,35,22.22,61.54,6.8,44.03,pulses
37,59,22,28.51,62.99,6.95,99.41,pulses
29,45,23,29.01,64.38,6.92,91.57,pulses
36,50,39,26.83,65.83,6.26,41.12,pulses
24,49,27,28.57,52.53,7.46,76.69,pulses
28,48,26,28.54,61.44,7.22,48.88,pulses
36,43,37,23.37,54.71,6.46,99.12,pulses
36,44,20,22.0,56.62,6.22,74.41,pulses
20,59,29,28.04,61.5,6.16,67.0,pulses
39,40,24,27.94,61.96,6.42,40.22,pulses
26,56,36,26.64,53.08,6.95,75.48,pulses
31,43,22,24.46,60.07,7.27,75.49,pulses
32,44,36,24.21,55.2,6.14,56.25,pulses
32,50,26,27.05,64.86,6.94,53.49,pulses
36,55,24,27.42,57.96,7.45,71.55,pulses
36,55,31,23.78,51.67,6.36,99.03,pulses
21,44,32,24.08,68.12,6.68,69.48,pulses
28,49,31,29.27,52.28,6.77,45.21,pulses
35,45,23,27.5,58.75,7.11,80.01,pulses
32,50,31,20.61,62.93,6.91,72.08,pulses
34,45,39,26.84,50.59,7.2,99.16,pulses
26,44,21,25.27,56.31,6.51,98.78,pulses
35,49,29,22.17,52.02,6.2,74.81,pulses
28,44,28,27.58,68.95,7.06,50.72,pulses
28,59,29,22.13,55.31,6.3,92.8,pulses
27,58,36,27.33,68.33,6.03,42.3,pulses
26,49,35,21.65,62.76,7.17,58.62,pulses
29,41,25,27.19,60.76,6.53,51.58,pulses
38,46,24,23.08,57.85,6.23,48.98,pulses
29,52,28,25.98,64.99,6.75,66.13,pulses
36,54,37,27.67,58.53,6.12,62.74,pulses
21,45,26,23.05,50.38,6.78,99.95,pulses
33,54,31,26.65,61.68,6.74,99.85,pulses
31,48,32,21.58,59.07,7.14,47.31,pulses
27,46,30,23.98,65.0,6.56,45.09,pulses
29,47,37,22.63,67.51,6.25,51.33,pulses
36,48,33,20.24,54.14,6.89,55.93,pulses
30,47,31,29.8,65.32,7.01,49.15,pulses
31,42,37,25.68,51.0,6.72,74.76,pulses
39,59,29,22.1,53.05,6.54,89.77,pulses
33,45,27,21.26,66.39,6.09,89.49,pulses
24,43,32,25.93,68.68,7.46,66.4,pulses
20,50,25,26.64,61.79,7.14,71.68,pulses
36,57,33,21.14,53.49,6.62,50.71,pulses
30,50,31,21.65,60.37,6.06,76.41,pulses
39,42,39,22.92,53.65,7.3,50.52,pulses
35,43,20,27.41,63.68,6.9,54.83,pulses
25,46,24,23.91,50.97,7.07,87.84,pulses
25,56,22,28.33,62.6,6.49,64.28,pulses
29,53,35,27.43,63.78,6.05,87.09,pulses
32,52,34,25.01,66.14,7.45,73.31,pulses
29,42,25,22.6,67.0,6.27,74.59,pulses
39,43,32,25.2,56.38,7.47,54.72,pulses
36,57,23,27.82,60.12,7.38,93.21,pulses
34,52,28,25.03,50.78,6.09,43.0,pulses
20,56,25,27.27,57.32,6.46,44.93,pulses
30,55,34,23.79,52.46,6.24,64.87,pulses
24,48,37,26.18,63.53,7.37,66.55,pulses
31,48,25,28.34,64.76,6.93,85.65,pulses
24,48,37,28.69,54.75,6.84,56.62,pulses
